Lower_Bound,Reaction_Number,Upper_Bound,Reaction_ID
0.0,1,1000.0,DM_4crsol_c
0.0,2,1000.0,DM_5drib_c
0.0,3,1000.0,DM_aacald_c
0.0,4,1000.0,DM_amob_c
0.0,5,1000.0,DM_mththf_c
0.0,6,1000.0,DM_oxam_c
0.0,7,1000.0,BIOMASS_Ec_iJO1366_WT_53p95M
0.0,8,1000.0,BIOMASS_Ec_iJO1366_core_53p95M
-1000.0,9,1000.0,EX_12ppd__R_e
-1000.0,10,1000.0,EX_12ppd__S_e
-1000.0,11,1000.0,EX_14glucan_e
-1000.0,12,1000.0,EX_15dap_e
-1000.0,13,1000.0,EX_23camp_e
-1000.0,14,1000.0,EX_23ccmp_e
-1000.0,15,1000.0,EX_23cgmp_e
-1000.0,16,1000.0,EX_23cump_e
-1000.0,17,1000.0,EX_23dappa_e
-1000.0,18,1000.0,EX_26dap__M_e
-1000.0,19,1000.0,EX_2ddglcn_e
-1000.0,20,1000.0,EX_34dhpac_e
-1000.0,21,1000.0,EX_3amp_e
-1000.0,22,1000.0,EX_3cmp_e
-1000.0,23,1000.0,EX_3gmp_e
-1000.0,24,1000.0,EX_3hcinnm_e
-1000.0,25,1000.0,EX_3hpp_e
-1000.0,26,1000.0,EX_3hpppn_e
-1000.0,27,1000.0,EX_3ump_e
-1000.0,28,1000.0,EX_4abut_e
-1000.0,29,1000.0,EX_4hoxpacd_e
-1000.0,30,1000.0,EX_5dglcn_e
-1000.0,31,1000.0,EX_5mtr_e
-1000.0,32,1000.0,EX_LalaDglu_e
-1000.0,33,1000.0,EX_LalaDgluMdap_e
-1000.0,34,1000.0,EX_LalaDgluMdapDala_e
-1000.0,35,1000.0,EX_LalaLglu_e
-1000.0,36,1000.0,EX_ac_e
-1000.0,37,1000.0,EX_acac_e
-1000.0,38,1000.0,EX_acald_e
-1000.0,39,1000.0,EX_acgal_e
-1000.0,40,1000.0,EX_acgal1p_e
-1000.0,41,1000.0,EX_acgam_e
-1000.0,42,1000.0,EX_acgam1p_e
-1000.0,43,1000.0,EX_acmana_e
-1000.0,44,1000.0,EX_acmum_e
-1000.0,45,1000.0,EX_acnam_e
-1000.0,46,1000.0,EX_acolipa_e
-1000.0,47,1000.0,EX_acser_e
-1000.0,48,1000.0,EX_ade_e
-1000.0,49,1000.0,EX_adn_e
-1000.0,50,1000.0,EX_adocbl_e
-1000.0,51,1000.0,EX_ag_e
-1000.0,52,1000.0,EX_agm_e
-1000.0,53,1000.0,EX_akg_e
-1000.0,54,1000.0,EX_ala_B_e
-1000.0,55,1000.0,EX_ala__D_e
-1000.0,56,1000.0,EX_ala__L_e
-1000.0,57,1000.0,EX_alaala_e
-1000.0,58,1000.0,EX_all__D_e
-1000.0,59,1000.0,EX_alltn_e
-1000.0,60,1000.0,EX_amp_e
-1000.0,61,1000.0,EX_anhgm_e
-1000.0,62,1000.0,EX_arab__L_e
-1000.0,63,1000.0,EX_arbt_e
-1000.0,64,1000.0,EX_arbtn_e
-1000.0,65,1000.0,EX_arbtn_fe3_e
-1000.0,66,1000.0,EX_arg__L_e
-1000.0,67,1000.0,EX_ascb__L_e
-1000.0,68,1000.0,EX_asn__L_e
-1000.0,69,1000.0,EX_aso3_e
-1000.0,70,1000.0,EX_asp__L_e
-1000.0,71,1000.0,EX_btn_e
-1000.0,72,1000.0,EX_but_e
-1000.0,73,1000.0,EX_butso3_e
-1000.0,74,1000.0,EX_ca2_e
-1000.0,75,1000.0,EX_cbi_e
-1000.0,76,1000.0,EX_cbl1_e
-1000.0,77,1000.0,EX_cd2_e
-1000.0,78,1000.0,EX_cgly_e
-1000.0,79,1000.0,EX_chol_e
-1000.0,80,1000.0,EX_chtbs_e
-1000.0,81,1000.0,EX_cit_e
-1000.0,82,1000.0,EX_cl_e
-1000.0,83,1000.0,EX_cm_e
-1000.0,84,1000.0,EX_cmp_e
-1000.0,85,1000.0,EX_co2_e
-1000.0,86,1000.0,EX_cobalt2_e
-1000.0,87,1000.0,EX_colipa_e
-1000.0,88,1000.0,EX_colipap_e
-1000.0,89,1000.0,EX_cpgn_e
-1000.0,90,1000.0,EX_cpgn_un_e
-1000.0,91,1000.0,EX_crn_e
-1000.0,92,1000.0,EX_crn__D_e
-1000.0,93,1000.0,EX_csn_e
-1000.0,94,1000.0,EX_cu_e
-1000.0,95,1000.0,EX_cu2_e
-1000.0,96,1000.0,EX_cyan_e
-1000.0,97,1000.0,EX_cynt_e
-1000.0,98,1000.0,EX_cys__D_e
-1000.0,99,1000.0,EX_cys__L_e
-1000.0,100,1000.0,EX_cytd_e
-1000.0,101,1000.0,EX_dad_2_e
-1000.0,102,1000.0,EX_damp_e
-1000.0,103,1000.0,EX_dca_e
-1000.0,104,1000.0,EX_dcmp_e
-1000.0,105,1000.0,EX_dcyt_e
-1000.0,106,1000.0,EX_ddca_e
-1000.0,107,1000.0,EX_dgmp_e
-1000.0,108,1000.0,EX_dgsn_e
-1000.0,109,1000.0,EX_dha_e
-1000.0,110,1000.0,EX_dimp_e
-1000.0,111,1000.0,EX_din_e
-1000.0,112,1000.0,EX_dms_e
-1000.0,113,1000.0,EX_dmso_e
-1000.0,114,1000.0,EX_dopa_e
-1000.0,115,1000.0,EX_doxrbcn_e
-1000.0,116,1000.0,EX_dtmp_e
-1000.0,117,1000.0,EX_dump_e
-1000.0,118,1000.0,EX_duri_e
-1000.0,119,1000.0,EX_eca4colipa_e
-1000.0,120,1000.0,EX_enlipa_e
-1000.0,121,1000.0,EX_enter_e
-1000.0,122,1000.0,EX_etha_e
-1000.0,123,1000.0,EX_ethso3_e
-1000.0,124,1000.0,EX_etoh_e
-1000.0,125,1000.0,EX_f6p_e
-1000.0,126,1000.0,EX_fald_e
-1000.0,127,1000.0,EX_fe2_e
-1000.0,128,1000.0,EX_fe3_e
-1000.0,129,1000.0,EX_fe3dcit_e
-1000.0,130,1000.0,EX_fe3dhbzs_e
-1000.0,131,1000.0,EX_fe3hox_e
-1000.0,132,1000.0,EX_fe3hox_un_e
-1000.0,133,1000.0,EX_fecrm_e
-1000.0,134,1000.0,EX_fecrm_un_e
-1000.0,135,1000.0,EX_feenter_e
-1000.0,136,1000.0,EX_feoxam_e
-1000.0,137,1000.0,EX_feoxam_un_e
-1000.0,138,1000.0,EX_for_e
-1000.0,139,1000.0,EX_fru_e
-1000.0,140,1000.0,EX_frulys_e
-1000.0,141,1000.0,EX_fruur_e
-1000.0,142,1000.0,EX_fuc__L_e
-1000.0,143,1000.0,EX_fum_e
-1000.0,144,1000.0,EX_fusa_e
-1000.0,145,1000.0,EX_g1p_e
-1000.0,146,1000.0,EX_g3pc_e
-1000.0,147,1000.0,EX_g3pe_e
-1000.0,148,1000.0,EX_g3pg_e
-1000.0,149,1000.0,EX_g3pi_e
-1000.0,150,1000.0,EX_g3ps_e
-1000.0,151,1000.0,EX_g6p_e
-1000.0,152,1000.0,EX_gal_e
-1000.0,153,1000.0,EX_gal_bD_e
-1000.0,154,1000.0,EX_gal1p_e
-1000.0,155,1000.0,EX_galct__D_e
-1000.0,156,1000.0,EX_galctn__D_e
-1000.0,157,1000.0,EX_galctn__L_e
-1000.0,158,1000.0,EX_galt_e
-1000.0,159,1000.0,EX_galur_e
-1000.0,160,1000.0,EX_gam_e
-1000.0,161,1000.0,EX_gam6p_e
-1000.0,162,1000.0,EX_gbbtn_e
-1000.0,163,1000.0,EX_gdp_e
-1000.0,164,1000.0,EX_glc__D_e
-1000.0,165,1000.0,EX_glcn_e
-1000.0,166,1000.0,EX_glcr_e
-1000.0,167,1000.0,EX_glcur_e
-1000.0,168,1000.0,EX_glcur1p_e
-1000.0,169,1000.0,EX_gln__L_e
-1000.0,170,1000.0,EX_glu__L_e
-1000.0,171,1000.0,EX_gly_e
-1000.0,172,1000.0,EX_glyald_e
-1000.0,173,1000.0,EX_glyb_e
-1000.0,174,1000.0,EX_glyc_e
-1000.0,175,1000.0,EX_glyc__R_e
-1000.0,176,1000.0,EX_glyc2p_e
-1000.0,177,1000.0,EX_glyc3p_e
-1000.0,178,1000.0,EX_glyclt_e
-1000.0,179,1000.0,EX_gmp_e
-1000.0,180,1000.0,EX_gsn_e
-1000.0,181,1000.0,EX_gthox_e
-1000.0,182,1000.0,EX_gthrd_e
-1000.0,183,1000.0,EX_gtp_e
-1000.0,184,1000.0,EX_gua_e
-1000.0,185,1000.0,EX_h_e
-1000.0,186,1000.0,EX_h2_e
-1000.0,187,1000.0,EX_h2o_e
-1000.0,188,1000.0,EX_h2o2_e
-1000.0,189,1000.0,EX_h2s_e
-1000.0,190,1000.0,EX_hacolipa_e
-1000.0,191,1000.0,EX_halipa_e
-1000.0,192,1000.0,EX_hdca_e
-1000.0,193,1000.0,EX_hdcea_e
-1000.0,194,1000.0,EX_hg2_e
-1000.0,195,1000.0,EX_his__L_e
-1000.0,196,1000.0,EX_hom__L_e
-1000.0,197,1000.0,EX_hxa_e
-1000.0,198,1000.0,EX_hxan_e
-1000.0,199,1000.0,EX_idon__L_e
-1000.0,200,1000.0,EX_ile__L_e
-1000.0,201,1000.0,EX_imp_e
-1000.0,202,1000.0,EX_indole_e
-1000.0,203,1000.0,EX_inost_e
