EX_ac_e,EX_etoh_e,EX_for_e,EX_h2_e,EX_h2s_e,EX_kdo2lipid4_e,EX_lac__D_e,EX_succ_e,i
8.2076318338,8.0776692199,17.283320004,0,0,0,0,0.0800490721,WT
12.7213996745,4.7831767704,26.025933611,0,0,0,0,0.0537745704,TPI
0.1148737323,2.4212338106,3.3509750388,0,0,0,14.0288177457,0.0653588661,ACKr
8.2043492232,8.0741485918,17.2783445736,0,0,0,0,0.080195677,FRD2rpp
9.1934807303,7.4156397869,16.8082066699,0,0,0,0,0.0819321728,GLYCL_2
13.5111388601,0,0,33.0043506009,0,0,0,0.1231413438,HADPCOADH
16.0836706022,-4.73417755782E-13,17.1358611057,0,3.9866634342,0,0,0.0843940623,PAPSSH
7.5924024862,7.4178302794,16.3508211496,0,0,0,0,0.1075258703,PPGKr
0,0,0,0,0,0,17.597360948,0.0538733315,ATPS4rpp
8.2181394722,7.91814654,17.1284541432,0,0,0,0,0.2503720051,FUM
8.3615119984,8.2427070633,17.516555102,0,0,0,0,0.07317662,GLUDy
8.7597642842,7.7965358804,17.1199044437,0,0,0,0,0.0787100182,MTHFD
0,0,0,0,0,0,17.2029227441,0.062717648,PFL
8.4127082831,8.2976155334,17.5941529555,0,0,0,0,0.0708901394,PGI
6.874994296,10.0443488187,17.6011229913,0,0,0,-4.44796871623E-13,0.0546841786,PPC
9.2365820759,7.5537510595,16.9787798882,0,0,0,0,0.0775536204,PSERT
7.890846753,8.3210275304,17.2045696081,0,0,0,6.05920711105E-14,0.0796220749,RPE
6.8134397143,4.3024143322,16.6174011146,0,0,0.1733283054,0,0.0520031983,RPI
0.1048344767,0,0.9098874931,0,0,0,16.8986997839,0.0645716667,ACALD
8.0460329118,8.2018115581,17.2431477236,0,0,0,1.93386577951E-12,0.0798312516,TALA
6.5803917478,9.3277356592,16.8788003192,0,0,0,2.89178262947E-13,0.077855702,THD2pp
