i,j
RPI,ATPS4rpp
RPI,FDH5r2pp
RPI,HADPCOADH
RPI,PAPSSH
RPI,PFL
TPI,ATPS4rpp
TPI,HADPCOADH
TPI,PAPSSH
TPI,PFL
ATPS4rpp,ACALD
ATPS4rpp,ACKr
ATPS4rpp,ACt2rpp
ATPS4rpp,ALCD2x
ATPS4rpp,ATPS1
ATPS4rpp,CAATPS
ATPS4rpp,CITt2r
ATPS4rpp,DRPA
ATPS4rpp,FADRx
ATPS4rpp,FDH5r2pp
ATPS4rpp,FRD2rpp
ATPS4rpp,G6PDH2r
ATPS4rpp,GHMT2r
ATPS4rpp,GLCptspp
ATPS4rpp,GLUDy
ATPS4rpp,GLYCL_2
ATPS4rpp,GND
ATPS4rpp,HADPCOADH
ATPS4rpp,MTHFC
ATPS4rpp,MTHFD
ATPS4rpp,OAADCS
ATPS4rpp,PAPSSH
ATPS4rpp,PFL
ATPS4rpp,PGCD
ATPS4rpp,PGI
ATPS4rpp,PGL
ATPS4rpp,POR5
ATPS4rpp,PPAt6
ATPS4rpp,PPC
ATPS4rpp,PPM2
ATPS4rpp,PSERT
ATPS4rpp,PSP_L
ATPS4rpp,PTAr
ATPS4rpp,RPE
ATPS4rpp,SO3R
ATPS4rpp,SUCCt2b
ATPS4rpp,SUCCt2r
ATPS4rpp,SUCCtpp
ATPS4rpp,TALA
ATPS4rpp,TKT1
ATPS4rpp,TKT2
PPC,FDH5r2pp
PPC,HADPCOADH
PPC,PAPSSH
PPC,PFL
PFL,ACt2rpp
PFL,CITt2r
PFL,DRPA
PFL,FDH5r2pp
PFL,FRD2rpp
PFL,FUM
PFL,GHMT2r
PFL,GLYCL_2
PFL,H2ASE_syn
PFL,HADPCOADH
PFL,MDH
PFL,MTHFC
PFL,MTHFD
PFL,PAPSSH
PFL,PGCD
PFL,POR5
PFL,PPAt6
PFL,PPGKr
PFL,PPM2
PFL,PSERT
PFL,PSP_L
PFL,RPE
PFL,SUCCt2b
PFL,SUCCt2r
PFL,SUCCtpp
PFL,TALA
PFL,THD2pp
PFL,TKT1
PFL,TKT2
ACALD,ADHEr
ACALD,CITt2r
ACALD,FDH5r2pp
ACALD,FRD2rpp
ACALD,GLYCL_2
ACALD,H2ASE_syn
ACALD,HADPCOADH
ACALD,PAPSSH
ACALD,PPAt6
ACALD,SUCCt2b
ACALD,SUCCt2r
ACALD,SUCCtpp
ALCD2x,ADHEr
ALCD2x,ALCD2ir
ALCD2x,CITt2r
ALCD2x,FDH5r2pp
ALCD2x,FRD2rpp
ALCD2x,GLYCL_2
ALCD2x,H2ASE_syn
ALCD2x,HADPCOADH
ALCD2x,PAPSSH
ALCD2x,PPAt6
ALCD2x,SUCCt2b
ALCD2x,SUCCt2r
ALCD2x,SUCCtpp
ACt2rpp,ACt2ipp
ACt2rpp,ACt2r
ACt2rpp,HADPCOADH
ACt2rpp,PAPSSH
ACKr,HADPCOADH
ACKr,PAPSSH
ACKr,SUCOAACTr
PTAr,HADPCOADH
PTAr,PAPSSH
PTAr,SUCOAACTr
GLCptspp,HADPCOADH
PGI,HADPCOADH
GLUDy,HADPCOADH
GLUDy,PAPSSH
PPKr,HADPCOADH
PPKr,PAPSSH
ACACT1r,HADPCOADH
ACACT1r,PAPSSH
ACACT2r,HADPCOADH
ACACT2r,PAPSSH
ACACT3r,HADPCOADH
ACACT3r,PAPSSH
ACOAD1f,HADPCOADH
ACOAD1f,PAPSSH
ACOAD2f,HADPCOADH
ACOAD2f,PAPSSH
ACOAD3f,HADPCOADH
ACOAD3f,PAPSSH
ECOAH1,HADPCOADH
ECOAH1,PAPSSH
ECOAH2,HADPCOADH
ECOAH2,PAPSSH
ECOAH3,HADPCOADH
ECOAH3,PAPSSH
HACD1,HADPCOADH
HACD1,PAPSSH
HACD2,HADPCOADH
HACD2,PAPSSH
HACD3,HADPCOADH
HACD3,PAPSSH
PGCD,HADPCOADH
PGCD,PAPSSH
PSERT,HADPCOADH
PSERT,PAPSSH
PSP_L,HADPCOADH
PSP_L,PAPSSH
THD2pp,HADPCOADH
THD2pp,PAPSSH
GHMT2r,HADPCOADH
GHMT2r,PAPSSH
ACACT4r,HADPCOADH
ACACT4r,PAPSSH
ACOAD4f,HADPCOADH
ACOAD4f,PAPSSH
ECOAH4,HADPCOADH
ECOAH4,PAPSSH
HACD4,HADPCOADH
HACD4,PAPSSH
MTHFC,HADPCOADH
MTHFC,PAPSSH
MTHFD,HADPCOADH
MTHFD,PAPSSH
ACACT5r,HADPCOADH
ACOAD5f,HADPCOADH
ECOAH5,HADPCOADH
HACD5,HADPCOADH
CBMKr,HADPCOADH
FADRx,HADPCOADH
ACACT6r,HADPCOADH
ECOAH6,HADPCOADH
HACD6,HADPCOADH
TKT2,HADPCOADH
RPE,HADPCOADH
TKT1,HADPCOADH
SO4t2pp,PAPSSH
DALAt2pp,DALAt2r
G6PDH2r,HADPCOADH
GND,HADPCOADH
H2ASE_syn,HADPCOADH
H2St,PAPSSH
H2St1pp,PAPSSH
H2tpp,HADPCOADH
HADPCOADH3,HADPCOADH
PDH,HADPCOADH
PGL,HADPCOADH
FRD2rpp,FDH5r2pp
SUCCt2r,PPAt6
SUCCtpp,PPAt6
PPAt6,PAPSSH
SO3R,PAPSSH
GLYCL_2,HADPCOADH
PAPSSH,FDH5r2pp
PAPSSH,HADPCOADH
PPGKr,HADPCOADH
FDH5r2pp,HADPCOADH
