Distance,Delta_Growth_Mean,Delta_Growth_Mean_Null,Delta_Growth_SE,Delta_Growth_SE_Null
1,6.95943370487839E-10,7.41332614379031E-10,2.28764598341628E-10,2.42194564607012E-10
2,7.97763996222048E-06,7.97771849415971E-06,7.97688967341659E-06,7.97688959526517E-06
3,1.59545303912047E-05,1.59546089142574E-05,1.12753779854031E-05,1.12753778745412E-05
4,1.5954530248471E-05,1.59546087952362E-05,1.1275377985605E-05,1.12753778747144E-05
5,1.59546154790556E-05,1.5954691635542E-05,1.12753778652118E-05,1.12753777576763E-05
6,0.000015974,1.59443848614505E-05,0.000011289,1.12681158959593E-05
7,0.000015974,1.5944500034337E-05,0.000011289,1.12681157334199E-05
8,0.000015974,1.59446158804867E-05,0.000011289,1.12681155711052E-05
9,5.47385358318884E-05,5.47092747156385E-05,4.03595162146574E-05,4.03537216657351E-05
10,5.47385358319036E-05,5.47093898891522E-05,4.03595162146574E-05,4.03537215105854E-05
11,5.48295843055725E-05,5.47607394276325E-05,4.03775182283696E-05,4.03637733726823E-05
12,5.48295843074179E-05,5.47608546031992E-05,4.03775182283671E-05,4.03637732180794E-05
13,9.35936446492238E-05,9.35250865503672E-05,5.59351717926331E-05,5.59252979916445E-05
14,9.35936982475343E-05,9.35252688260097E-05,5.59351717029173E-05,5.592529768836E-05
15,0.0001323578,0.0001322895,0.000068001,6.79929065401936E-05
16,0.0001323578,0.0001322894,0.000068001,6.79929066496582E-05
17,0.000132358,0.0001322898,0.000068001,6.7992905976467E-05
18,0.000132358,0.0001322901,0.000068001,6.79929053288662E-05
19,0.0001321666,0.0001320839,6.78923639522305E-05,6.78756721670139E-05
20,0.0001709309,0.0001708485,7.81138671946739E-05,7.80994024516492E-05
21,0.0001711238,0.000171053,7.82094506962212E-05,7.82006621506367E-05
22,0.0001711239,0.0001710536,7.82094505062828E-05,7.82006609292735E-05
23,0.0001797154,0.0001790271,7.86611861966359E-05,7.85886516900174E-05
24,0.0001797154,0.0001790277,7.8661186004806E-05,7.85886503568266E-05
25,0.0001876924,0.0001870052,7.90464605779215E-05,7.89743471231253E-05
26,0.0001876924,0.0001870057,7.90464605779215E-05,7.89743458290119E-05
27,0.0001877266,0.0001868472,7.90498404715637E-05,7.89588016024533E-05
28,0.0001878519,0.0001869503,7.90874261682527E-05,7.89955582660719E-05
29,0.0001878519,0.0001869509,7.90874261682526E-05,7.89955569746936E-05
30,0.0001878518,0.0001869515,7.90874262841317E-05,7.89955555199694E-05
31,0.0002345919,0.000233693,0.000088334,8.8252307189425E-05
32,0.0002673578,0.000272111,9.60892365263678E-05,0.000096269
33,0.0002675822,0.0002721115,9.61077393786654E-05,0.000096269
34,0.0002675822,0.0002721122,9.61077391362698E-05,9.62689482070136E-05
35,0.0002676047,0.0002721128,9.61076791633997E-05,9.62689466154162E-05
36,0.0002676047,0.000278932,9.61076792540555E-05,9.64908793948044E-05
37,0.0003451329,0.0003564609,0.0001104421,0.0001107678
38,0.0003840901,0.0003954299,0.0001169965,0.000117304
39,0.0003920671,0.0004034075,0.000117242,0.000117548
40,0.0003920672,0.0004034081,0.000117242,0.000117548
41,0.0003920672,0.0004034087,0.000117242,0.000117548
42,0.0003920672,0.0004034093,0.000117242,0.000117548
43,0.0003920672,0.00040341,0.000117242,0.000117548
44,0.0004309118,0.0004422451,0.0001233857,0.00012367
45,0.000469697,0.0004810352,0.0001292086,0.000129478
46,0.000469697,0.0004810358,0.0001292086,0.000129478
47,0.000469697,0.0004810364,0.0001292086,0.000129478
48,0.0004776503,0.0004889151,0.0001294242,0.0001296882
49,0.0004856413,0.0004968851,0.0001296412,0.0001299028
50,0.0004934121,0.0005047469,0.0001298448,0.0001301104
51,0.0004943472,0.0005127374,0.0001298446,0.0001303245
