EX_ac_e,EX_etoh_e,EX_for_e,EX_h2_e,EX_h2s_e,EX_kdo2lipid4_e,EX_lac__D_e,EX_succ_e,i,j
8.20763183384,8.0776692199,17.283320004,0,0,0,0,0.0800490721217,WT,WT
8.0460329118,8.20181155808,17.2431477236,0,0,0,2.21588787236e-12,0.0798312516199,TKT1,TKT1
7.73647171732,8.43962038748,17.1661931316,0,0,0,8.2304727184e-11,0.0794139915673,TKT2,TKT2
12.7213996745,4.78317677038,26.025933611,0,0,0,0,0.0537745704375,TPI,TPI
8.20931937695,8.07947912488,17.2858778014,0,0,0,0,0.079973704648,TRPAS2,TRPAS2
8.20931937695,8.07947912488,17.2858778014,0,0,0,0,0.079973704648,TRPS3,TRPS3
0.114873732255,2.42123381055,3.3509750388,0,0,0,14.0288177457,0.0653588661192,ACKr,ACKr
8.19871225924,8.0681028969,17.2698006667,0,0,0,0,0.0804474298273,AIRCr,AIRCr
8.26595583353,8.14022222766,17.3717212858,0,0,0,0,0.0774442601497,ACOAD1f,ACOAD1f
8.26595583353,8.14022222766,17.3717212858,0,0,0,0,0.0774442601497,ACOAD2f,ACOAD2f
8.26595583353,8.14022222766,17.3717212858,0,0,0,0,0.0774442601497,ACOAD3f,ACOAD3f
8.20650503693,8.0764607202,17.2816121258,0,0,0,0,0.0800993960721,ANS2,ANS2
8.24254825645,8.11511739332,17.3362425836,0,0,0,0,0.0784896674832,ACOAD4f,ACOAD4f
8.23232185792,8.10414949005,17.3207425023,0,0,0,0,0.0789463893382,ACOAD5f,ACOAD5f
8.20270787247,8.07238822759,17.2758567899,0,0,0,0,0.080268981483,APSR,APSR
8.21960650597,8.09051216213,17.3014699315,0,0,0,0,0.0795142705048,ACOAD6f,ACOAD6f
8.21141639008,8.08172819008,17.2890562297,0,0,0,0,0.0798800498075,ACOAD7f,ACOAD7f
8.20434257272,8.07414145813,17.2783344938,0,0,0,0,0.080195974028,CITt2r,CITt2r
8.20444609904,8.07425249103,17.2784914079,0,0,0,0,0.0801913504322,CTPS1,CTPS1
8.20270787247,8.07238822759,17.2758567899,0,0,0,0,0.080268981483,CYS,CYS
8.2064033746,8.07635168645,17.2814580369,0,0,0,0,0.0801039364203,CYSS_2,CYSS_2
8.20025289037,8.06975523747,17.2721357906,0,0,0,0,0.0803786235996,DAPDH,DAPDH
8.20025289037,8.06975523747,17.2721357906,0,0,0,0,0.0803786235996,DAPNH4T,DAPNH4T
8.20394994104,8.07372035716,17.2777393846,0,0,0,0,0.0802135093774,DHDPRx_r,DHDPRx_r
8.19774779931,8.1473965532,17.3486668896,0,0,0,0,0.000162455491191,DHORDi,DHORDi
8.19608985215,8.14569228639,17.3462278468,0,0,0,0,0.000162604938987,DHORD_NAD,DHORD_NAD
8.20509988607,8.07495368342,17.2794823484,0,0,0,0,0.080162151607,FACOAL160,FACOAL160
8.20464681503,8.07446776071,17.2787956317,0,0,0,0,0.0801823862422,FACOAL161,FACOAL161
8.20434922318,8.07414859183,17.2783445736,0,0,0,0,0.0801956769893,FRD2rpp,FRD2rpp
8.20543954924,8.07531797519,17.2799971735,0,0,0,0,0.0801469818879,G5SD2,G5SD2
9.19348073028,7.41563978686,16.8082066699,0,0,0,0,0.0819321727876,GLYCL_2,GLYCL_2
8.20279065413,8.07247701166,17.2759822615,0,0,0,0,0.0802652843657,GMPS,GMPS
13.5111388601,0,0,33.0043506009,0,0,0,0.12314134381,HADPCOADH,HADPCOADH
8.20716250889,8.07716586472,17.2826086515,0,0,0,0,0.0800700326739,IGPDH_1,IGPDH_1
8.2072463176,8.07725575031,17.2827356797,0,0,0,0,0.0800662896876,K2L4Atex,K2L4Atex
8.2066645938,8.07663184637,17.281853965,0,0,0,0,0.0800922700923,Kt1,Kt1
8.20025289037,8.06975523747,17.2721357906,0,0,0,0,0.0803786235996,LDAPAT,LDAPAT
8.20315807024,8.07287106826,17.2765391517,0,0,0,0,0.0802488751802,LLEUDr,LLEUDr
8.20790847745,8.07736805456,17.2838790215,0,0,0,0,0.0800496005472,MECDPDH2,MECDPDH2
8.2068670249,8.07684895552,17.2821607884,0,0,0,0,0.0800832293039,METS_1,METS_1
8.2017528224,8.07136392791,17.2744092272,0,0,0,0,0.0803116350367,ORNTAC,ORNTAC
8.20543954924,8.07531797519,17.2799971735,0,0,0,0,0.0801469818879,P5CRx,P5CRx
16.0836706022,-4.73417755782e-13,17.1358611057,0,3.9866634342,0,0,0.0843940623316,PAPSSH,PAPSSH
8.20434257272,8.07414145813,17.2783344938,0,0,0,0,0,PPAtr,PPAtr
7.59240248619,7.41783027936,16.3508211496,0,0,0,0,0.107525870333,PPGKr,PPGKr
8.20540912473,8.07528534463,17.2799510592,0,0,0,0,0.0801483406789,PRAIS_1,PRAIS_1
8.20716250889,8.07716586472,17.2826086515,0,0,0,0,0.0800700326739,PRAMPC_1,PRAMPC_1
8.20270787247,8.07238822759,17.2758567899,0,0,0,0,0.080268981483,SADT,SADT
8.19920752042,8.06863406892,17.2705513306,0,0,0,0,0.0804253109353,SHSL2,SHSL2
8.19997663802,8.06945895438,17.2717170768,0,0,0,0,0.0803909613237,SHSL2r,SHSL2r
8.20023573257,8.06973683558,17.2721097846,0,0,0,0,0.0803793898851,SO3R,SO3R
8.19678539388,8.06603631669,17.2668801302,0,0,0,0,0.0805334856873,STPT1,STPT1
8.20434257272,8.07414145813,17.2783344938,0,0,0,0,0.080195974028,SUCCt2b,SUCCt2b
8.20434257272,8.07414145813,17.2783344938,0,0,0,0,0.080195974028,SUCCt2r,SUCCt2r
8.20434257272,8.07414145813,17.2783344938,0,0,0,0,0.080195974028,SUCCtpp,SUCCtpp
0.104834476688,0,0.909887493119,0,0,0,16.8986997839,0.0645716666552,ALCD2x,ALCD2x
8.21239456759,8.08277729415,17.2905388465,0,0,0,0,0.0798363633576,ASNS2,ASNS2
8.2076995238,8.07719169821,17.2828724815,0,0,0,0,0.0805961687863,ASPO6,ASPO6
0,0,0,0,0,0,17.597360948,0.0538733315369,ATPS4rpp,ATPS4rpp
8.23211868689,8.10393158732,17.3204345573,0,0,0,0,0.0789554631728,CBMKr,CBMKr
8.2120907971,8.08245149761,17.2900784237,0,0,0,0,0.0798499300712,CTECOAI7,CTECOAI7
8.2183191885,8.08913150271,17.2995187534,0,0,0,0,0.0795717634748,CYTK1,CYTK1
8.2061607274,8.07621308014,17.2802778246,0,0,0,0,0.0800398535563,DALAt2pp,DALAt2pp
8.20815004585,8.07822500688,17.2841054544,0,0,0,0,0.0800259282213,DUTPDP,DUTPDP
8.26595583353,8.14022222766,17.3717212858,0,0,0,0,0.0774442601497,ECOAH1,ECOAH1
8.26595583353,8.14022222766,17.3717212858,0,0,0,0,0.0774442601497,ECOAH2,ECOAH2
8.26595583353,8.14022222766,17.3717212858,0,0,0,0,0.0774442601497,ECOAH3,ECOAH3
8.24254825645,8.11511739332,17.3362425836,0,0,0,0,0.0784896674832,ECOAH4,ECOAH4
8.23232185792,8.10414949005,17.3207425023,0,0,0,0,0.0789463893382,ECOAH5,ECOAH5
8.22729165932,8.09875455775,17.313118265,0,0,0,0,0.0791710433593,ECOAH6,ECOAH6
8.21585656649,8.08649031872,17.2957861742,0,0,0,0,0.0796817467979,ECOAH7,ECOAH7
8.20994145387,8.0801463079,17.2868206791,0,0,0,0,0.0799459220302,FACOAE120,FACOAE120
8.21141639008,8.08172819008,17.2890562297,0,0,0,0,0.0798800498075,FACOAE160,FACOAE160
8.2120907971,8.0824514976,17.2900784237,0,0,0,0,0.0798499300712,FACOAE161,FACOAE161
8.22902520285,8.1006137982,17.315745785,0,0,0,0,0.0790936214664,FADRx,FADRx
8.20867531925,8.07878836727,17.2849016076,0,0,0,0,0.0800024689514,FE3abcpp,FE3abcpp
8.21813947216,7.91814654,17.1284541432,0,0,0,0,0.250372005141,FUM,FUM
8.21200037327,8.08235451724,17.2899413689,0,0,0,0,0.0798539684958,G5SD,G5SD
8.2142748644,8.08479392918,17.2933887994,0,0,0,0,0.0797523872984,GARFT,GARFT
8.87130043359,7.73974419912,17.0868929039,0,0,0,0,0.0784395161879,GHMT2r,GHMT2r
8.41270828306,8.29761553341,17.5941529555,0,0,0,0,0.0708901393846,GLCptspp,GLCptspp
8.21200037327,8.08235451724,17.2899413689,0,0,0,0,0.0798539684958,GLU5K,GLU5K
8.36151199841,8.24270706334,17.516555102,0,0,0,0,0.0731766200082,GLUDy,GLUDy
8.26595583352,8.14022222767,17.3717212858,0,0,0,0,0.0774442601496,HACD1,HACD1
8.26595583353,8.14022222766,17.3717212858,0,0,0,0,0.0774442601497,HACD2,HACD2
8.26595583353,8.14022222766,17.3717212858,0,0,0,0,0.0774442601497,HACD3,HACD3
8.24254825645,8.11511739332,17.3362425836,0,0,0,0,0.0784896674832,HACD4,HACD4
8.23232185792,8.10414949005,17.3207425023,0,0,0,0,0.0789463893382,HACD5,HACD5
8.2272916595,8.09875455756,17.3131182654,0,0,0,0,0.0791710433596,HACD6,HACD6
8.21585656649,8.08649031872,17.2957861742,0,0,0,0,0.0796817467979,HACD7,HACD7
8.21244700204,8.08283353057,17.2906183211,0,0,0,0,0.0798340215791,IMPD,IMPD
8.21052730386,8.08077463721,17.2877086479,0,0,0,0,0.0799197573454,Kt2pp,Kt2pp
8.21467302934,8.08522096462,17.2939922952,0,0,0,0,0.0797346048281,MDH,MDH
8.2076995238,8.07719169821,17.2828724815,0,0,0,0,0.0805961687863,MOX,MOX
8.75976428417,7.79653588043,17.1199044437,0,0,0,0,0.0787100181692,MTHFC,MTHFC
8.75976428417,7.79653588042,17.1199044437,0,0,0,0,0.0787100181692,MTHFD,MTHFD
8.22286897472,8.08076746153,17.3095096465,0,0,0,0,0.0796539579068,NDPK3,NDPK3
8.21141639008,8.08172819008,17.2890562297,0,0,0,0,0.0798800498075,AACPS3,AACPS3
8.2120907971,8.0824514976,17.2900784237,0,0,0,0,0.0798499300712,AACPS4,AACPS4
8.20994145387,8.0801463079,17.2868206791,0,0,0,0,0.0799459220302,AACPS7,AACPS7
0,0,0,0,0,0,17.2029227441,0.0627176480011,PFL,PFL
9.23658207591,7.55375105944,16.9787798882,0,0,0,0,0.0775536203733,PGCD,PGCD
8.41270828306,8.29761553341,17.5941529555,0,0,0,0,0.0708901393846,PGI,PGI
8.22185051255,8.09291887912,17.3048711567,0,0,0,0,0.0794140507801,PIt2rpp,PIt2rpp
8.22129860085,8.06511841864,17.3103927575,0,0,0,0,0.0800250238678,POR5,POR5
8.26595583353,8.14022222766,17.3717212858,0,0,0,0,0.0774442601497,ACACT1r,ACACT1r
8.26595583353,8.14022222766,17.3717212858,0,0,0,0,0.0774442601497,ACACT2r,ACACT2r
6.87499429598,10.0443488187,17.6011229913,0,0,0,-4.44796871623e-13,0.0546841785947,PPC,PPC
8.27446033967,8.14934338605,17.3846115067,0,0,0,0,0.0770644398436,PPKr,PPKr
8.26595583353,8.14022222766,17.3717212858,0,0,0,0,0.0774442601497,ACACT3r,ACACT3r
9.23658207589,7.55375105946,16.9787798882,0,0,0,0,0.0775536203732,PSERT,PSERT
8.24254825645,8.11511739332,17.3362425836,0,0,0,0,0.0784896674832,ACACT4r,ACACT4r
8.23232185792,8.10414949005,17.3207425023,0,0,0,0,0.0789463893382,ACACT5r,ACACT5r
9.23658207685,7.55375105843,16.9787798901,0,0,0,0,0.077553620375,PSP_L,PSP_L
0.114873732255,2.42123381054,3.35097503879,0,0,0,14.0288177457,0.0653588661192,PTAr,PTAr
8.2272916595,8.09875455756,17.3131182654,0,0,0,0,0.0791710433596,ACACT6r,ACACT6r
8.21585656649,8.08649031872,17.2957861742,0,0,0,0,0.0796817467979,ACACT7r,ACACT7r
8.21092075139,8.07464886033,17.2898350821,0,0,0,0,0.0800432848917,RNTR1c2,RNTR1c2
8.21102770927,8.07455063614,17.290046957,0,0,0,0,0.0800430966869,RNTR2c2,RNTR2c2
8.21102770927,8.07455063614,17.290046957,0,0,0,0,0.0800430966869,RNTR3c2,RNTR3c2
8.21092075139,8.07464886033,17.2898350821,0,0,0,0,0.0800432848917,RNTR4c2,RNTR4c2
7.89084675295,8.32102753038,17.2045696081,0,0,0,6.05920711105e-14,0.0796220749338,RPE,RPE
6.81343971427,4.30241433223,16.6174011146,0,0,0.17332830544,0,0.0520031983149,RPI,RPI
0.104834476687,0,0.909887493117,0,0,0,16.8986997839,0.0645716666552,ACALD,ACALD
8.21137132274,8.08167985496,17.2889879214,0,0,0,0,0.0798820625626,SO4t2pp,SO4t2pp
8.0460329118,8.20181155808,17.2431477236,0,0,0,1.93386577951e-12,0.0798312516199,TALA,TALA
6.58039174776,9.32773565921,16.8788003192,0,0,0,2.89178262947e-13,0.0778557019705,THD2pp,THD2pp
