"M","env.effect","f.i.wt"
"12DGR120tipp",0,0
"12DGR140tipp",0,0
"12DGR141tipp",0,0
"12DGR160tipp",0,0
"12DGR161tipp",0,0
"12DGR180tipp",0,0
"12DGR181tipp",0,0
"12PPDRDH",0,0
"12PPDRtex",0,0
"12PPDRtpp",0,0
"12PPDStex",0,0
"12PPDStpp",0,0
"12PPDt",0,0
"13PPDH",0,0
"13PPDtex",0,0
"13PPDtpp",0,0
"14GLUCANabcpp",0,0
"14GLUCANtexi",0,0
"1PPDCRc",0,0
"23CN2P1",0,0
"23CN2P2",0,0
"23CN2P3",0,0
"23CN2P4",0,0
"23DAPPAt2pp",0,0
"23DAPPAtex",0,0
"23DK5MPPISO",0,0
"23PDE2pp",0,0
"23PDE4pp",0,0
"23PDE7pp",0,0
"23PDE9pp",0,0
"26DAHtex",0,0
"26DPAi",0,0
"2AGPA120tipp",0,0
"2AGPA140tipp",0,0
"2AGPA141tipp",0,0
"2AGPA160tipp",0,0
"2AGPA161tipp",0,0
"2AGPA180tipp",0,0
"2AGPA181tipp",0,0
"2AGPE120tipp",0,0
"2AGPE140tipp",0,0
"2AGPE141tipp",0,0
"2AGPE160tipp",0,0
"2AGPE161tipp",0,0
"2AGPE180tipp",0,0
"2AGPE181tipp",0,0
"2AGPEAT120",0,0
"2AGPEAT140",0,0
"2AGPEAT141",0,0
"2AGPEAT160",0,0
"2AGPEAT161",0,0
"2AGPEAT180",0,0
"2AGPEAT181",0,0
"2AGPG120tipp",0,0
"2AGPG140tipp",0,0
"2AGPG141tipp",0,0
"2AGPG160tipp",0,0
"2AGPG161tipp",1.12e-10,0
"2AGPG180tipp",0,0
"2AGPG181tipp",0,0
"2AGPGAT120",0,0
"2AGPGAT140",0,0
"2AGPGAT141",0,0
"2AGPGAT160",0,0
"2AGPGAT161",0,0
"2AGPGAT180",0,0
"2AGPGAT181",0,0
"2DGLCNRx",0,0
"2DGLCNRy",0,0
"2DGULRGx",1e-11,0
"2DGULRGy",0,0
"2DGULRx",0,0
"2DGULRy",0,0
"2DHGLCK",0,0
"2DHGLCNkt_tpp",0,0
"2DHGLCNtex",0,0
"2HH24DDH",0,0
"2HH24DDH1",0,0
"2HXMPt6",0,0
"2INSD",0,0
"2MAHMP",0,0
"2OBUTt2ipp",0,0
"2OH3K5MPPISO",0,0
"2PGK",0,0
"2PGLYCt6",0,0
"2PGt6",0,0
"2PGt6pp",0,0
"2PHACTE",0,0
"2PLS",0,0
"2S6HCCi",0,0
"34DHALDD",0,0
"3_4DHBZ1t_pp",0,0
"3_4DHBZt2",0,0
"34DHCINMtex",0,0
"34DHCINMtpp",0,0
"34DHOXPEGOX",0,0
"34DHPACDO",0,0
"34HPPOR",0,0
"34PHACTE",0,0
"35PHACTE",0,0
"3AMACHYD",0,0
"3AMBAt2",0,0
"3AMPt6",0,0
"3CMPt6",0,0
"3GMPt6",1e-11,0
"3HAACOAT100",0,0
"3HAACOAT120",0,0
"3HAACOAT121",0,0
"3HAACOAT140",0,0
"3HAACOAT141",1e-11,0
"3HAACOAT60",0,0
"3HAACOAT80",0,0
"3HAD100",0,0
"3HAD120",0,0
"3HAD121",0,0
"3HAD140",0,0
"3HAD141",0,0
"3HAD160",0,0
"3HAD161",0,0
"3HAD180",0,0
"3HAD181",0,0
"3HAD40",0,0
"3HAD60",0,0
"3HAD80",0,0
"3HBCOAHL",0,0
"3HCINNMH",0,0
"3HOPCD",0,0
"3HOXPACt2pp",0,0
"3HPAOX",1e-11,0
"3HPPPNH",0,0
"3HPPtpp",0,0
"3KGK",0,0
"3M2OBLOXRD",0,0
"3M2OPLOXRD",0,0
"3MBt2pp",0,0
"3MBt4pp",0,0
"3MBZALDH",1.41e-11,0
"3MBZDH",1.41e-11,0
"3MCAT23DOX",1.41e-11,0
"3MMD",1.41e-11,0
"3NTD2pp",0,0
"3NTD2pp_1",0,0
"3NTD4pp",0,0
"3NTD7pp",0,0
"3NTD9pp",0,0
"3NTYROXDApp",0,0
"3NUCLE1",0,0
"3NUCLE2",0,0
"3NUCLE3",0,0
"3NUCLE4",0,0
"3OADPCOAT",0,0
"3OAR100",0,0
"3OAR120",0,0
"3OAR121",0,0
"3OAR141",0,0
"3OAR160",0,0
"3OAR161",1e-11,0
"3OAR180",1e-11,0
"3OAR181",0,0
"3OAR40",0,0
"3OAR60",0,0
"3OAR80",0,0
"3OAS100",2.83e-11,0
"3OAS120",0,0
"3OAS121",0,0
"3OAS141",0,0
"3OAS160",0,0
"3OAS161",0,0
"3OAS180",0,0
"3OAS181",0,0
"3OAS60",0,0
"3OAS80",0,0
"3OXCOAT",0,0
"3OXOADPt_ex",0,0
"3OXOADPt_pp",0,0
"3PEPTabcpp",0,0
"3PGt6",0,0
"3PGt6pp",0,0
"3PHACOAOR",1e-11,0
"3PHACTE",0,0
"3SALATAi",0,0
"3UMPt6",0,0
"42A12BOOXpp",0,0
"4ABUTD",0,0
"4C2HM6SADH",0,0
"4CMCOAS",0,0
"4CMLCL_kt",0,0
"4H2KPILY",0,0
"4H3NALDD",0,0
"4H3NPACAM",0,0
"4HALDD",0,0
"4HBALDt2pp",1.09e-10,0
"4HBCOAH",0,0
"4HBHYOX",0,0
"4HBZR",0,0
"4HBZtex",0,0
"4HGLSD",0,0
"4HOXPACMOF",0,0
"4HOXPACMOF_1",0,0
"4HOXPACMON",0,0
"4HOXPACt2pp",0,0
"4HOXPACt2pp_1",0,0
"4HTHRK",0,0
"4HTHRS",0,0
"4HTHRtex",0,0
"4HTHRtrpp",0,0
"4IZ5PPH",0,0
"4KFBPP",0,0
"4M2OPLOXRD",0,0
"4MBZALDH",0,0
"4MBZDH",0,0
"4MCAT23DOX",0,0
"4OD",0,0
"4OD2",0,0
"4OT",0,0
"4OT2",0,0
"4PCP",0,0
"4PCPpp",0,0
"4PEPTabcpp",0,0
"4PHACTE",0,0
"5C2O3EDDC",0,0
"5CM2HMUDI",0,0
"5DGLCNR",0,0
"5DGLCNt2rpp",0,0
"5HBZIDMT",0,0
"5HBZIDS",0,0
"5HBZIDS2",0,0
"5MTRt2",0,0
"5MTRtpp",0,0
"6APAt1",0,0
"6CTDS",0,0
"6HNACMO",0,0
"6PGALSZ",0,0
"6PGCt6",0,0
"6PHBG",0,0
"7MHS",0,0
"7MHTS",0,0
"AACOAR_syn",0,0
"AACPS1",0,0
"AACPS10",0,0
"AACPS11",0,0
"AACPS2",0,0
"AACPS3",0.0079831672,-0.00497464115400093
"AACPS4",0.0094057657,-0.00586114698576704
"AACPS5",1e-11,0
"AACPS6",0,0
"AACPS7",0.0048719273,-0.00303586957951223
"AACPS8",0,0
"AACPS9",0,0
"AACTOOR",0,0
"AADDGT",0,0
"AADSACYCL",0,0
"AAMYL",0,0
"AAMYL_1",0,0
"AAMYLpp",0,0
"AASAD3",0,0
"AATA",0,0
"AAtr",0,0
"AB6PGH",0,0
"ABFA",0,0
"ABTA",0,0
"ABTDG",0,0
"ABTpp2",0,0
"ABTt_1",0,0
"ABUTD",0,0
"ABUTt2pp",0,0
"ABUTt2r",0,0
"ABZtex",0,0
"ACACCT",0,0
"ACACT1r",0.1230290186,-0.076691956210836
"ACACt2",1e-11,0
"ACACt2pp",0,0
"ACACT2r",0.1230290186,-0.076691956210836
"ACACT3r",0.1230290186,-0.076691956210836
"ACACT4r",0.0736529256,-0.0459055730003584
"ACACT5r",0.052081295,-0.0324584655785175
"ACACT5r_1",0,0
"ACACT6r",0.0414705622,-0.0258447165767701
"ACACT6r_1",0,0
"ACACT7r",0.0173493037,-0.0108113831464421
"ACACT8r",0,0
"ACAFDOR",0,0
"ACALD",26.1640908721,-0.460037640875065
"ACALDt",0,0
"ACALDtpp",0,0
"ACANTHAT",0,0
"ACBIPGT",0,0
"ACCC",0,0
"ACChex",0,0
"ACCOAL",0,0
"ACGAL1PPpp",0,0
"ACGAL6PI",0,0
"ACGAL6PISO",0,0
"ACGALptspp",0,0
"ACGAM1PPpp",0,0
"ACGAMK",0,0
"ACGAMPM",0,0
"ACGAMT",0,0
"ACGApts",0,0
"ACGAptspp",0,0
"ACITL",0,0
"ACKr",22.0999134524,-0.436219338596654
"ACLDC",0,0
"ACLS_a",0,0
"ACM6PH",0,0
"ACMAMUT",0,0
"ACMANApts",1e-11,0
"ACMANAptspp",0,0
"ACMANAt2",0,0
"ACMUMptspp",0,0
"ACNAMt2",0,0
"ACNAMt2pp",0,0
"ACNMCT",0,0
"ACNML",0,0
"ACNPLYS",0,0
"ACOAD1",0,0
"ACOAD1f",0.1230290186,-0.076691956210836
"ACOAD2",0,0
"ACOAD20",0,0
"ACOAD2f",0.1230290186,-0.076691956210836
"ACOAD3",0,0
"ACOAD3f",0.1230290186,-0.076691956210836
"ACOAD4",0,0
"ACOAD4_1",0,0
"ACOAD4f",0.0736529256,-0.0459055730003584
"ACOAD5",0,0
"ACOAD5_1",0,0
"ACOAD5f",0.052081295,-0.0324584655785175
"ACOAD6",0,0
"ACOAD6f",0.0252594501,-0.0157410537804863
"ACOAD7",0,0
"ACOAD7f",0.0079831672,-0.00497464115400093
"ACOAD8f",0,0
"ACOADH1",0,0
"ACOADH2",0,0
"ACOATA",0,0
"ACODA_1",0,0
"ACOLIPAabctex",0,0
"ACOLIPAtex",0,0
"ACONCtupp",0,0
"ACONIs",0,0
"ACONMT",0,0
"ACONT",0,0
"ACP1_FMN",0,0
"ACPPAT120",0,0
"ACPPAT140",0,0
"ACPPAT141",0,0
"ACPPAT160",0,0
"ACPPAT161",0,0
"ACPPAT180",0,0
"ACPPAT181",0,0
"ACPpds",0,0
"ACPS",2.37e-10,0
"ACPS1",0,0
"ACS",0,0
"ACS2",0,0
"ACSERtpp",0,0
"ACt2ipp",1e-11,0
"ACt2r",0,0
"ACt2rpp",NA,-0.442824305948708
"ACt4pp",0,0
"ACTD",1e-11,0
"ACTD2",1e-11,0
"ACTDa",0,0
"ACTNabc",2.26e-09,0
"ACTNabc1",2.26e-09,0
"ACTNt2r",0,0
"ACYP",0,0
"ACYP_2",0,0
"ACYSBMNt",0,0
"ADA",0,0
"ADADir",0,0
"ADAPAT",0,0
"ADCOBNSYN",0,0
"ADCPS1",0,0
"ADCPS2",0,0
"ADCYRS",0,0
"ADD",0,0
"ADEt2",0,0
"ADEt2rpp",0,0
"ADHEr",0,0
"ADK1",0,0
"ADK2",0,0
"ADK3",0,0
"ADK4",0,0
"ADKd",0,0
"ADMDC",0,0
"ADNCYC",0,0
"ADNK1",0,0
"ADNK3",0,0
"ADNK4",0,0
"ADNt2",0,0
"ADNt2pp_copy1",3.89e-10,0
"ADNt2pp_copy2",0,0
"ADNUC",0,0
"ADOCBIAH",0,0
"ADOCBIK",0,0
"ADOCBIPS",5.66e-11,0
"ADOCBLabcpp",0,0
"ADOCBLPP",0,0
"ADOCBLPS",0,0
"ADOCBLS",0,0
"ADOCBLS2",0,0
"ADOCBLtonex",0,0
"ADPDA",0,0
"ADPRDP",0,0
"ADPT",1e-11,0
"ADPT2",0,0
"ADtr",0,0
"AEPabcpp",0,0
"AEPPYRTA",0,0
"AFE",0,0
"AFTA",0,0
"AGAIAGT",0,0
"AGAID",0,0
"AGDC",0,0
"AGM3PA",0,0
"AGM3PApp",0,0
"AGM3PH",0,0
"AGM3Pt2pp",0,0
"AGM4PA",0,0
"AGM4PApp",0,0
"AGM4PCP",0,0
"AGM4PCPpp",0,0
"AGM4PH",0,0
"AGM4Pt2pp",0,0
"AGMDA",0,0
"AGMH",0,0
"AGMHE",0,0
"AGMPTRCtpp",0,0
"AGMT",0,0
"AGMt2pp",0,0
"AGPAT120",0,0
"AGPAT140",0,0
"AGPAT141",0,0
"AGPAT160190",0,0
"AGPAT180",2.13e-09,0
"AGPAT181",0,0
"AGPAT181_9",0,0
"AGPAT182_9_12",0,0
"AGPAT183_6_9_12",0,0
"AGPAT183_9_12_15",0,0
"AGPAT184_6_9_12_15",0,0
"AGPAT190",1.41e-11,0
"AGPATr_BS",0,0
"AGt3",0,0
"AGTi",0,0
"AH6PI",0,0
