C1,C2,Comp,T0_C1,T0_C2,T1_C1,T1_C2,FBA_Comp,Mutant_Initial_Biomass,WT_Initial_Biomass,Mutant_Final_Biomass_Exp,WT_Final_Biomass_Exp,WT_Final_Biomass_FBA,Mutant_Final_Biomass_FBA,Predicted T1_C2,Predicted T1_C1
ZDB912,ZDB1245,Cit+ dctA- vs Cit- dctA-,119,178,190,119,WT_CitT,4.641E-08,6.942E-08,0.00000741,0.000004641,4.787365224E-06,3.2429132454E-05,122.7529544615,831.5162167692
ZDB912,ZDB1245,Cit+ dctA- vs Cit- dctA-,131,191,177,107,WT_CitT,5.109E-08,7.449E-08,0.000006903,0.000004173,4.7597394714E-06,3.2431293185E-05,122.0446018308,831.5716201282
ZDB912,ZDB1245,Cit+ dctA- vs Cit- dctA-,145,177,139,112,WT_CitT,5.655E-08,0.000000069,0.000005421,0.000004368,4.2897320298E-06,3.2852139349E-05,109.9931289692,842.3625474103
ZDB912,ZDB1245,Cit+ dctA- vs Cit- dctA-,163,204,141,119,WT_CitT,6.357E-08,7.956E-08,0.000005499,0.000004641,4.416328543E-06,3.270207413E-05,113.2391934103,838.5147212821
ZDB912,ZDB1245,Cit+ dctA- vs Cit- dctA-,133,197,173,108,WT_CitT,5.187E-08,7.683E-08,0.000006747,0.000004212,4.8123038543E-06,3.2375915297E-05,123.3924065205,830.1516742821
ZDB912,ZDB1245,Cit+ dctA- vs Cit- dctA-,143,175,150,107,WT_CitT,5.577E-08,6.825E-08,0.00000585,0.000004173,4.2924194661E-06,3.2856629041E-05,110.0620375923,842.4776677179
ZDB912,ZDB1245,Cit+ dctA- vs Cit- dctA-,100,186,147,120,WT_CitT,0.000000039,7.254E-08,0.000005733,0.00000468,5.3557830936E-06,3.1946779068E-05,137.3277716308,819.1481812308
ZDB912,ZDB1245,Cit+ dctA- vs Cit- dctA-,121,174,153,124,WT_CitT,4.719E-08,6.786E-08,0.000005967,0.000004836,4.6791911604E-06,3.2525693582E-05,119.9792605231,833.9921431282
ZDB912,ZDB1245,Cit+ dctA- vs Cit- dctA-,130,168,130,108,WT_CitT,5.07E-08,6.552E-08,0.00000507,0.000004212,4.4013679368E-06,3.2770755092E-05,112.8555881231,840.2757715897
ZDB912,ZDB1245,Cit+ dctA- vs Cit- dctA-,117,140,125,98,WT_CitT,4.563E-08,5.46E-08,0.000004875,0.000003822,4.1367874689E-06,3.3054864438E-05,106.0714735615,847.5606266154
ZDB757,ZDB1245,Cit- dctA+ vs Cit- dctA-,207,168,203,132,WT_dctA,6.552E-08,8.073E-08,0.000005148,0.000007917,6.2286039436E-06,5.0550988528E-06,159.7077934256,129.6179193026
ZDB757,ZDB1245,Cit- dctA+ vs Cit- dctA-,195,200,180,134,WT_dctA,0.000000078,7.605E-08,0.000005226,0.00000702,5.5665975542E-06,5.7093308249E-06,142.7332706205,146.3930980744
ZDB757,ZDB1245,Cit- dctA+ vs Cit- dctA-,175,187,153,126,WT_dctA,7.293E-08,6.825E-08,0.000004914,0.000005967,5.4505031745E-06,5.8242519636E-06,139.7564916538,149.3397939385
ZDB757,ZDB1245,Cit- dctA+ vs Cit- dctA-,189,165,174,145,WT_dctA,6.435E-08,7.371E-08,0.000005655,0.000006786,6.0215326098E-06,5.2568935483E-06,154.3982720462,134.7921422641
ZDB757,ZDB1245,Cit- dctA+ vs Cit- dctA-,156,162,144,138,WT_dctA,6.318E-08,6.084E-08,0.000005382,0.000005616,5.5344904563E-06,5.7473554738E-06,141.9100117,147.3680890718
ZDB757,ZDB1245,Cit- dctA+ vs Cit- dctA-,163,154,173,134,WT_dctA,6.006E-08,6.357E-08,0.000005226,0.000006747,5.8013510937E-06,0.000005481,148.7525921462,140.5392588385
ZDB757,ZDB1245,Cit- dctA+ vs Cit- dctA-,191,159,153,117,WT_dctA,0.000000062,7.449E-08,0.000004563,0.000005967,6.1562576039E-06,0.000005124,157.8527590744,131.3850323872
ZDB757,ZDB1245,Cit- dctA+ vs Cit- dctA-,188,172,197,127,WT_dctA,6.708E-08,7.332E-08,0.000004953,0.000007683,5.8884068922E-06,5.3872658801E-06,150.9847921077,138.1350225667
ZDB757,ZDB1245,Cit- dctA+ vs Cit- dctA-,182,190,137,126,WT_dctA,7.41E-08,0.000000071,0.000004914,0.000005343,5.5145599094E-06,5.7553364688E-06,141.3989720359,147.5727299692
ZDB757,ZDB1245,Cit- dctA+ vs Cit- dctA-,153,191,165,135,WT_dctA,7.449E-08,5.967E-08,0.000005265,0.000006435,5.0183183618E-06,6.2646980857E-06,128.6748297897,160.6332842487
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,310,167,980,57,WT_CitTdctA,1.209E-07,6.513E-08,0.00003822,0.000002223,1.1235107321E-06,0.0001082237,28.8079674897,2774.967344359
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,500,168,1910,62,WT_CitTdctA,0.000000195,6.552E-08,0.00007449,0.000002418,8.6363047928E-07,0.0001082121,22.1443712636,2774.6686971795
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,900,165,2080,39,WT_CitTdctA,0.000000351,6.435E-08,0.00008112,0.000001521,6.0880074552E-07,0.0001082026,15.6102755262,2774.4261017949
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,990,200,1850,35,WT_CitTdctA,3.861E-07,0.000000078,0.00007215,0.000001365,6.9549241786E-07,0.0001080262,17.8331389195,2769.9020753846
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,1810,160,2200,51,WT_CitTdctA,7.059E-07,6.24E-08,0.0000858,0.000001989,3.9731179148E-07,0.0001081447,10.1874818328,2772.9419028205
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,440,161,1620,61,WT_CitTdctA,1.716E-07,6.279E-08,0.00006318,0.000002379,0.000000892,0.0001082362,22.8712996572,2775.287208718
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,920,180,794,28,WT_CitTdctA,3.588E-07,7.02E-08,0.000030966,0.000001092,0.000000654,0.0001081397,16.7691682228,2772.8131561539
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,860,188,1300,37,WT_CitTdctA,3.354E-07,7.332E-08,0.0000507,0.000001443,7.0905176009E-07,0.0001080595,18.1808143613,2770.7554223077
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,1090,176,1968,43,WT_CitTdctA,4.251E-07,6.864E-08,0.000076752,0.000001677,5.8131191662E-07,0.0001081355,14.9054337595,2772.705085641
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,610,202,1058,42,WT_CitTdctA,2.379E-07,7.878E-08,0.000041262,0.000001638,9.2153887673E-07,0.0001080394,23.6292019674,2770.2401010256
ZDB89,ZDB1246,Cit+ dctA+ vs Cit+ dctA-,1170,156,1930,39,CitT_CitTdctA,4.563E-07,6.084E-08,0.00007527,0.000001521,1.1774566599E-06,0.0001073368,30.1911964077,2752.2262197436
ZDB89,ZDB1246,Cit+ dctA+ vs Cit+ dctA-,820,139,2370,49,CitT_CitTdctA,3.198E-07,5.421E-08,0.00009243,0.000001911,1.3227123679E-06,0.000107309,33.915701741,2751.5124702564
ZDB89,ZDB1246,Cit+ dctA+ vs Cit+ dctA-,1590,145,2100,62,CitT_CitTdctA,6.201E-07,5.655E-08,0.0000819,0.000002418,9.027944923E-07,0.0001075818,23.1485767256,2758.5072764103
ZDB89,ZDB1246,Cit+ dctA+ vs Cit+ dctA-,930,177,1610,56,CitT_CitTdctA,3.627E-07,0.000000069,0.00006279,0.000002184,1.5231857808E-06,0.000107054,39.0560456615,2744.9744446154
ZDB89,ZDB1246,Cit+ dctA+ vs Cit+ dctA-,1570,137,2140,53,CitT_CitTdctA,6.123E-07,5.343E-08,0.00008346,0.000002067,8.6264734036E-07,0.0001076345,22.1191625733,2759.8577525641
