Distance,Delta_Fitness_Mean,Delta_Fitness_SE,Mutant
1,9.9978593068546E-05,9.50432804516926E-05,ATPS4rpp
2,9.9978593068546E-05,9.50432804516926E-05,ATPS4rpp
4,0.0009561402,0.0008506359,ATPS4rpp
8,0.0029632487,0.0015818687,ATPS4rpp
16,0.0063695479,0.0028106637,ATPS4rpp
32,0.0082433093,0.0029496644,ATPS4rpp
64,0.0202503132,0.0054777578,ATPS4rpp
128,0.031972168,0.0060536291,ATPS4rpp
256,0.0756338309,0.0073617254,ATPS4rpp
512,0.1222563935,0.0112822821,ATPS4rpp
1024,0.1723324551,0.0170422774,ATPS4rpp
1,4.19085508518435E-10,4.17219001569435E-10,PTAr
2,4.19085508518435E-10,4.17219001569435E-10,PTAr
4,2.89896257054956E-05,2.86548052821607E-05,PTAr
8,3.28984406800492E-05,2.86749482314883E-05,PTAr
16,3.98988171558168E-05,2.90475605474686E-05,PTAr
32,0.0007181317,0.0004131272,PTAr
64,0.0010067443,0.0004881703,PTAr
128,0.0033990711,0.0022483559,PTAr
256,0.0131962172,0.0061859607,PTAr
512,0.0571452644,0.0164486619,PTAr
1024,0.1208529689,0.0207809589,PTAr
1,9.07768067825998E-08,7.7094249115339E-08,ACKr
2,9.07768067825998E-08,7.7094249115339E-08,ACKr
4,1.32381418693761E-06,1.22594476764142E-06,ACKr
8,3.83738674470502E-06,1.80176446069823E-06,ACKr
16,1.10126744096473E-05,5.37080368772878E-06,ACKr
32,0.0003549085,0.0002872977,ACKr
64,0.0004633637,0.0002913574,ACKr
128,0.0028013974,0.0022563671,ACKr
256,0.014194308,0.0062382349,ACKr
512,0.0530395647,0.0130926256,ACKr
1024,0.1250898231,0.0198945011,ACKr
1,1.31019925343256E-06,1.29864967140531E-06,PAPSSH
2,1.31019925343256E-06,1.29864967140531E-06,PAPSSH
4,0.000011669,0.000007528,PAPSSH
8,0.0077042723,0.0065838852,PAPSSH
16,0.0078144427,0.0065827589,PAPSSH
32,0.0134555536,0.0069231675,PAPSSH
64,0.0215977044,0.0073224623,PAPSSH
128,0.0357678982,0.0101454151,PAPSSH
256,0.1465567029,0.0265202047,PAPSSH
512,0.2657563459,0.0324887844,PAPSSH
1024,0.4047761532,0.0371765489,PAPSSH
1,5.29062083032272E-11,2.05472973386501E-13,PPAt6
2,5.29062083032272E-11,2.05472973386501E-13,PPAt6
4,6.2841558623461E-11,6.81763086072884E-12,PPAt6
8,5.33613732699711E-05,5.33612053466075E-05,PPAt6
16,0.0001424972,8.27042735312938E-05,PPAt6
32,0.0001603979,0.000091481,PPAt6
64,0.0004713415,0.0002759592,PPAt6
128,0.0012487274,0.0004542022,PPAt6
256,0.0052686755,0.0016867521,PPAt6
512,0.0144669631,0.0032026276,PPAt6
1024,0.0376023255,0.005425752,PPAt6
1,5.34361577209097E-11,1.91167082164156E-13,THD2pp
2,5.34361577209097E-11,1.91167082164156E-13,THD2pp
4,1.22427366022748E-10,5.94828810555163E-11,THD2pp
8,0.000000001,4.38320849665821E-10,THD2pp
16,2.17126229440368E-09,6.21429985814007E-10,THD2pp
32,2.2808460594792E-06,1.60116604626307E-06,THD2pp
64,0.0001562343,0.0001262742,THD2pp
128,0.000155003,0.0001243712,THD2pp
256,0.0009480177,0.0002472008,THD2pp
512,0.0025487372,0.0005167487,THD2pp
1024,0.0068454718,0.000842418,THD2pp
1,2.20496052527608E-10,2.18240561992224E-10,PPGKr
2,2.20496052527608E-10,2.18240561992224E-10,PPGKr
4,4.32939647732056E-08,4.13355835661186E-08,PPGKr
8,6.61240741806068E-08,4.2303615860187E-08,PPGKr
16,8.97927898489304E-06,8.8975137162042E-06,PPGKr
32,1.9036607083418E-05,1.44058384164427E-05,PPGKr
64,5.12702757518224E-05,2.22025338050833E-05,PPGKr
128,0.0001572425,3.70534381868172E-05,PPGKr
256,0.0028283515,0.0020264002,PPGKr
512,0.0113290135,0.0043427185,PPGKr
